name.length,age
23,26.04517454
26,25.19370294
22,27.2881588
22,25.09240246
26,24.8733744
26,23.69609856
26,24.00821355
17,23.23613963
26,23.58384668
20,23.72895277
22,23.37850787
22,23.41957563
23,23.58110883
22,23.83572895
22,23.07186858
30,23.72347707
32,24.35318275
26,24.23271732
21,23.94798084
23,23.21697467
24,23.72621492
17,22.43942505
24,22.70225873
23,22.89117043
25,23.15400411
22,22.36002738
23,22.50787132
19,22.31622177
20,22.55167693
22,22.85284052
19,22.64476386
16,22.30527036
21,22.66392882
34,23.14852841
22,22.51608487
16,22.66940452
18,22.74880219
21,22.56262834
31,22.45311431
27,23.07186858
17,22.64202601
27,22.93771389
29,22.69678303
25,22.82819986
24,23.17316906
24,22.4476386
18,22.66940452
28,23.17864476
22,22.49418207
27,22.54072553
26,22.61738535
26,22.9486653
21,22.75154004
21,22.70499658
22,22.48870637
19,23.05544148
29,23.08829569
27,23.14852841
26,23.01163587
17,22.86652977
23,22.27789185
22,22.31622177
22,23.08829569
28,22.53798768
19,23.02532512
20,22.32991102
29,26.4366872
24,23.03080082
23,22.4202601
23,23.01711157
20,22.4202601
19,24.01368925
23,21.90006845
28,21.8973306
31,21.46201232
20,22.16290212
16,21.63997262
26,21.67830253
28,21.97672827
26,21.67008898
17,21.83436003
21,22.17659138
18,21.96851472
15,21.7522245
27,21.19644079
19,21.59342916
16,22.28610541
22,20.93908282
25,21.16632444
20,21.41273101
25,21.7522245
20,21.42642026
19,21.34702259
28,21.79603012
17,21.45106092
26,21.3963039
19,22.15195072
29,22.11362081
18,22.09445585
24,21.32785763
19,22.03148528
21,21.99863107
20,21.89459274
27,21.18822724
27,21.90006845
25,22.0862423
26,21.70294319
23,22.0862423
18,21.59616701
19,22.15468857
17,21.19096509
25,21.84257358
26,21.50308008
23,22.30527036
20,22.04517454
24,21.02669405
20,21.21560575
20,21.83709788
27,24.22724162
19,20.95824778
26,24.95277207
22,22.37097878
26,22.88569473
21,21.53045859
21,21.23750856
26,22.02874743
23,20.53114305
27,20.34770705
20,21.07871321
25,20.5229295
17,20.86516085
22,20.6899384
21,20.00273785
22,20.42710472
20,20.44900753
23,20.82409309
15,20.52019165
23,21.02669405
19,20.63791923
23,20.44079398
17,19.9835729
25,20.48186174
26,20.83230664
21,21.045859
21,20.12046543
24,21.53319644
21,20.57768652
25,19.90691307
17,20.25735797
20,21.19370294
24,20.28199863
18,20.37234771
23,20.60506502
28,20.10403833
35,20.38603696
16,20.45722108
28,20.3449692
19,20.54209446
21,20.59958932
24,20.43258042
20,19.90417522
27,20.7063655
23,19.97535934
26,20.67077344
22,20.37782341
23,20.88980151
27,20.80492813
18,20.56947296
21,20.57494867
27,19.95071869
24,20.39151266
22,20.48459959
20,20.31485284
25,20.11225188
26,20.30663929
24,20.18069815
31,20.71457906
26,20.74469541
23,23.82477755
23,23.20602327
26,20.58863792
25,24.11498973
11,20.21355236
22,24.12594114
19,20.15331964
22,20.08213552
20,20.42710472
24,20.38056126
19,19.94250513
23,21.24845996
21,21.5633128
21,23.27446954
30,20.76659822
18,20.48186174
27,19.44147844
18,19.78644764
21,20.0164271
23,20.04106776
21,20.02737851
20,19.05270363
18,19.09103354
26,19.53456537
35,19.10472279
26,19.8110883
19,19.70431211
24,19.77549624
27,19.4825462
17,19.93155373
22,19.63312799
20,20.10130048
23,19.41136208
27,19.46885695
26,19.28542094
19,19.83025325
23,19.09650924
21,19.35386721
24,19.71252567
24,19.70978782
23,19.86036961
22,19.4825462
28,19.44421629
21,18.91581109
20,18.9486653
18,19.6550308
20,19.35660507
26,19.26899384
21,19.27173169
16,19.85763176
25,18.89664613
19,19.02532512
21,22.45585216
25,22.58453114
17,22.52156057
28,23.07460643
15,22.96235455
24,19.80835044
22,20.0054757
20,19.46885695
23,19.77823409
22,23.18412047
17,22.71868583
17,22.75154004
21,22.30253251
27,23.04996578
19,23.35934292
19,19.80561259
26,22.7652293
25,20.05201916
29,22.21492129
29,18.91854894
16,19.2991102
28,22.95140315
26,22.47227926
19,22.34907598
17,20.57768652
24,18.7980835
19,18.23408624
28,18.75154004
23,18.72963723
23,19.10198494
19,18.275154
27,18.39561944
23,18.65845311
21,19.17590691
23,19.00616016
19,18.52156057
26,18.16016427
19,19.15674196
19,18.03969884
19,18.18480493
23,19.01437372
22,18.65571526
26,18.74332649
27,18.19028063
20,18.14921287
23,17.9028063
18,18.52703628
29,18.49144422
28,18.34360027
26,18.52977413
24,18.41478439
25,18.23956194
28,17.92197125
20,19.06639288
22,19.34839151
22,19.05544148
19,18.54072553
