age,name_length,sex,nationality,major
20.30116,30,Male,Mexico,IMT
20.00821,22,Female,Mexico,LEM
22.81999,18,Male,Mexico,IM
22.85284,21,Male,Mexico,LTM
19.69336,36,Male,Mexico,ITC
22.11362,26,Male,Mexico,IRS
22.86653,17,Male,Mexico,LAF
20.20534,26,Female,Mexico,LEM
20.24367,19,Female,Mexico,LDI
20.02738,25,Female,Mexico,NEG
20.29021,30,Female,Mexico,LED
20.54209,28,Male,Mexico,LAF
18.63929,25,Male,Mexico,ESC
19.09651,28,Female,Mexico,SLD
18.30527,26,Female,Mexico,ESC
18.17385,25,Female,Mexico,IIT
18.5243,24,Female,Mexico,IIT
18.12457,22,Male,Mexico,NEG
18.66667,33,Female,Mexico,ICI
19.07734,23,Male,Mexico,IIT
18.63929,23,Female,Mexico,IBQ
18.60917,19,Male,Mexico,ICT
18.1629,23,Male,Mexico,NEG
18.75154,23,Female,Mexico,NEG
18.98152,29,Male,Mexico,IIT
19.02806,36,Male,Mexico,NEG
18.80903,26,Female,Mexico,ESC
18.95962,32,Male,Mexico,IIT
21.93566,29,Male,Europe,IM
19.04997,22,Female,Mexico,IIT
18.47228,28,Male,Mexico,IIT
18.69131,18,Male,Mexico,NEG
18.87748,20,Male,Mexico,IIT
21.43463,21,Male,Mexico,IQ
22.35455,29,Male,Mexico,IIS
21.62628,27,Male,Mexico,INA
19.1102,30,Male,Mexico,NEG
18.78987,29,Male,Mexico,IIT
24.02464,31,Male,Mexico,IIS
19.09651,22,Male,Mexico,IIT
22.14374,27,Female,Mexico,LDO
18.19576,21,Male,Mexico,NEG
18.81177,23,Male,Mexico,IIT
18.21218,35,Male,Mexico,ICT
21.67283,28,Female,Mexico,LEM
21.54415,23,Female,Mexico,LAE
21.90281,18,Male,Mexico,ITC
18.78713,32,Female,Mexico,NEG
21.90281,28,Female,Mexico,LAF
21.94661,24,Male,Mexico,IC
21.48939,30,Female,Mexico,BGB
22.09446,29,Male,Mexico,ITC
21.29227,24,Male,Mexico,ITC
22.06982,17,Male,Mexico,IMD
19.0527,28,Male,Mexico,ICI
