age,name_length,sex,nationality,major
18.9240,24,Male,Mexico,IIT
19.0445,23,Male,Mexico,NEG
18.8309,22,Female,Mexico,NEG
18.9377,25,Female,Mexico,NEG
18.4914,22,Female,Mexico,NEG
18.7762,22,Female,Mexico,NEG
21.7769,29,Female,Mexico,BGB
19.0226,20,Female,Mexico,IIT
18.9158,27,Female,Mexico,IBQ
18.3984,23,Female,Mexico,NEG
21.9576,26,Female,Mexico,IMD
19.0062,28,Female,Mexico,NEG
18.2450,30,Female,Mexico,NEG
18.7433,25,Male,Mexico,NEG
18.4723,24,Male,Mexico,ESC
18.4832,19,Female,Mexico,NEG
19.2225,19,Female,Mexico,ESC
19.1075,23,Male,Mexico,IIT
18.6283,27,Female,Mexico,NEG
18.9405,20,Male,Mexico,NEG
18.2067,29,Male,Mexico,IBQ
18.2752,24,Male,Mexico,NEG
21.1608,26,Male,Mexico,LAF
18.4750,24,Male,Mexico,IIT
18.1930,29,Female,Mexico,NEG
18.5407,28,Male,Mexico,NEG
18.5188,30,Male,Mexico,IIT
18.9432,20,Male,Mexico,NEG
21.5852,21,Female,Mexico,LEM
21.9138,26,Female,Mexico,IC
21.6099,30,Male,Mexico,IMT
18.3190,23,Female,Mexico,CIS
18.4887,19,Male,Mexico,NEG
18.5489,24,Male,Mexico,NEG
21.3552,26,Female,Mexico,LDE
21.1389,27,Female,Mexico,IBT
18.8282,25,Male,Mexico,IIT
19.6769,30,Male,Mexico,LAD
19.6222,18,Male,Mexico,IIT
21.4428,25,Male,Mexico,BGB
18.7762,18,Male,Mexico,IIT
19.0390,26,Male,Mexico,ICT
22.0507,31,Female,Mexico,IDM
21.3990,21,Female,Mexico,LAF
18.6995,23,Male,Mexico,NEG
18.7762,18,Male,Mexico,NEG
18.9979,27,Male,Mexico,NEG
21.8480,27,Male,Mexico,IMT
21.4757,28,Female,Mexico,IQ
21.7057,31,Female,Mexico,IC
21.5797,33,Female,Mexico,INA
18.5845,29,Male,Mexico,IIT
18.6804,24,Male,Mexico,NEG
21.6427,27,Male,Mexico,LAE
19.1075,20,Female,Mexico,NEG
20.7693,25,Female,Mexico,LAF
20.7009,32,Male,Mexico,CPF
20.3313,19,Male,Mexico,LDO
20.5448,28,Male,Mexico,LIT
20.8077,20,Male,Mexico,IRS
20.7611,25,Female,Mexico,BME
20.5832,23,Male,Mexico,IMT
20.1506,29,Female,Mexico,IDM
20.6352,24,Male,Mexico,IBT
20.5914,23,Male,Mexico,IE
20.6982,21,Male,Mexico,IDM
20.8077,25,Male,Mexico,LIT
20.8460,27,Female,Mexico,ITC
21.3908,27,Male,Mexico,LAE
20.9582,28,Male,Mexico,IC
19.5674,19,Male,North America,ITC
19.1211,27,Male,Mexico,IDM
19.8658,30,Female,Mexico,LAE
19.9781,27,Male,Mexico,LAE
20.5640,27,Male,Mexico,IIS
20.6434,30,Female,Mexico,IM
19.9398,29,Female,Mexico,LIN
22.1574,22,Male,North America,IFI
19.2060,30,Male,Mexico,ITC
19.7755,29,Female,Mexico,IIT
20.3450,26,Male,Mexico,LAF
20.0986,30,Male,Mexico,IIS
19.1650,19,Female,Mexico,IBT
20.3806,24,Male,Mexico,ITC
19.2964,27,Male,Mexico,IDM
19.2252,32,Male,Mexico,IC
19.4223,27,Male,Mexico,LAF
19.1814,23,Male,Mexico,IMT
19.9097,27,Male,Mexico,LAE
18.6913,20,Male,Mexico,ICI
19.5428,23,Male,Mexico,IIT
19.0527,25,Male,Mexico,ICT
18.4805,27,Female,Mexico,IBQ
19.0390,28,Female,Mexico,IIT
20.0164,26,Male,Mexico,IIT
18.2396,25,Male,Mexico,IIT
18.9103,27,Female,Mexico,IBQ
18.6146,33,Female,Mexico,IIT
18.8282,28,Male,Mexico,IIT
18.4750,27,Male,Mexico,IIT
18.4559,25,Female,Mexico,NEG
18.2998,24,Male,Mexico,IBQ
20.4928,28,Female,Mexico,ICI
18.8337,21,Male,Mexico,IIT
24.6324,18,Female,Mexico,LAE
23.8823,29,Male,Mexico,IDM
23.9288,25,Female,Mexico,LIT
22.6968,28,Male,Mexico,LAF
22.6968,27,Female,Mexico,ARQ
22.2259,27,Male,Mexico,IMT
22.6338,25,Male,Mexico,IIS
21.8042,22,Female,Mexico,LDO
22.0151,25,Male,Mexico,LAF
21.7139,24,Female,Mexico,LDI
22.0123,24,Female,Mexico,LED
21.8015,24,Male,Mexico,MC
21.2348,30,Male,Mexico,ARQ
21.9630,23,Female,Mexico,LC
21.3744,25,Female,Mexico,ARQ
21.3963,27,Female,Mexico,LIN
21.6537,23,Male,Mexico,LAF
21.6893,29,Male,Mexico,LAF
21.1444,34,Male,Mexico,LAE
21.5058,31,Female,Mexico,LAE
22.0014,22,Male,Mexico,ARQ
21.7221,23,Female,Mexico,LAE
21.7139,25,Male,Mexico,BME
21.4949,27,Male,Mexico,IMT
21.1362,27,Male,Mexico,LAF
21.9959,23,Male,Mexico,LAE
21.4593,27,Female,Mexico,ARQ
22.1054,28,Female,Mexico,LAE
20.4791,25,Male,Mexico,IMT
21.9521,22,Female,Mexico,LNB
22.4832,22,Female,Mexico,ARQ
22.0862,28,Female,Mexico,LDI
20.8761,25,Male,Mexico,MC
20.6215,24,Male,Mexico,ITC
20.5366,19,Female,Mexico,LAE
20.5366,23,Male,Mexico,LAF
20.7639,27,Male,Mexico,NEG
21.0678,27,Male,Mexico,LIN
21.1581,27,Male,Mexico,IIS
20.8789,29,Male,Mexico,IC
20.9555,21,Male,Mexico,IIS
21.3908,29,Male,Mexico,IIS
20.3587,27,Female,Mexico,LIN
20.5886,21,Male,Mexico,ITC
20.2902,27,Female,Mexico,LAE
21.0130,21,Male,Mexico,LAF
20.8186,25,Female,Mexico,ARQ
20.6927,28,Male,Mexico,LIN
19.5017,24,Female,Mexico,BGB
19.1348,20,Male,Mexico,IMT
19.6742,33,Male,Mexico,IIS
19.5592,29,Male,Mexico,LAE
19.4579,21,Female,Mexico,IBT
19.7180,17,Female,Mexico,IAL
19.4360,21,Male,Mexico,IID
19.9288,25,Male,Mexico,IMD
19.4962,25,Female,Mexico,LEM
19.4825,26,Female,Mexico,LEM
20.0931,25,Female,Mexico,ARQ
19.4415,23,Male,Mexico,NEG
19.6632,25,Male,Mexico,IIS
19.6632,21,Female,Mexico,ARQ
19.6523,30,Male,Mexico,IIS
19.5702,30,Male,Mexico,LAE
19.5811,23,Male,Mexico,IIS
19.9014,25,Male,Mexico,LIN
19.9261,17,Male,Mexico,IIS
19.9726,17,Female,Mexico,LAE
19.8330,20,Male,Mexico,IIS
19.7235,30,Male,Mexico,LIN
19.2854,25,Male,Mexico,IID
18.1629,26,Female,Mexico,AMC
19.2307,31,Female,Mexico,NEG
20.0027,25,Male,Mexico,IIT
18.5900,25,Female,Mexico,IBQ
18.9322,28,Female,Mexico,ESC
18.7734,25,Male,Mexico,AMC
18.4559,19,Male,Mexico,IIT
18.2341,21,Female,North America,IIT
18.3107,18,Female,Mexico,NEG
18.9897,30,Male,Mexico,ICT
20.4736,26,Male,Mexico,LAF
18.6940,28,Male,Mexico,NEG
18.9322,24,Male,Mexico,CIS
19.1047,21,Female,Mexico,NEG
18.3710,24,Female,Mexico,IIT
24.7693,30,Male,Mexico,MC
25.1691,19,Male,Mexico,MC
25.3908,28,Male,Mexico,MC
23.5099,21,Female,Mexico,MC
23.5236,23,Female,Mexico,MC
24.0027,23,Male,Mexico,MC
23.6687,27,Male,Mexico,IBT
24.0931,29,Male,Mexico,LAF
24.4107,26,Male,Mexico,MC
23.0582,28,Male,Mexico,LTM
23.4579,22,Male,Mexico,CPF
24.2437,30,Female,Mexico,MC
23.8494,23,Male,Mexico,MC
24.2710,28,Male,Mexico,MC
24.2847,28,Female,Mexico,LPS
23.3101,21,Male,Mexico,ARQ
23.1896,27,Female,Mexico,BIE
23.1266,28,Female,Mexico,LED
23.0828,26,Male,Mexico,IMT
22.6229,22,Male,Mexico,LRI
23.0116,26,Male,Mexico,CPF
21.8973,28,Male,Mexico,IQ
22.1684,30,Male,Mexico,LAF
21.5880,21,Female,Mexico,CPF
21.6372,30,Female,Mexico,LAF
21.1444,23,Male,Mexico,IIS
21.7221,29,Male,Mexico,IRS
21.2923,19,Male,Mexico,BIE
21.4374,21,Male,Mexico,CPF
21.9110,28,Female,Mexico,LDI
22.6229,23,Male,Mexico,LIT
22.0452,25,Male,Mexico,MC
21.3032,28,Male,Mexico,LAD
21.5934,29,Male,Mexico,IM
21.2512,26,Female,Mexico,BIE
21.5140,20,Female,Mexico,MC
21.9548,23,Female,Mexico,LDI
21.4155,35,Male,Mexico,LAF
22.1739,28,Male,Mexico,IRS
21.8070,17,Female,Mexico,ARQ
22.0972,29,Female,Mexico,IC
21.5469,19,Female,Mexico,LPS
22.0479,24,Female,Mexico,LDE
21.5359,29,Male,Mexico,IRS
21.2950,25,Male,Mexico,LAE
21.7440,21,Female,Mexico,LEM
21.8179,27,Female,Mexico,LEM
21.5715,31,Male,Mexico,LED
21.8152,19,Male,Mexico,IBT
22.1629,27,Male,Mexico,IC
21.2567,30,Female,Mexico,LC
21.3662,25,Male,Mexico,IM
21.3470,26,Male,Mexico,IC
21.8289,31,Female,Mexico,LAE
22.0643,29,Male,Mexico,IM
21.5113,29,Male,Mexico,IIS
21.9685,27,Male,Mexico,IC
21.4702,25,Female,Mexico,LAE
20.2190,23,Female,Mexico,ARQ
21.1444,24,Female,Mexico,BIE
20.6078,29,Female,Mexico,IBT
20.6270,22,Male,Mexico,IBT
20.5996,24,Male,Mexico,CPF
20.8843,28,Male,Mexico,LAE
20.6954,18,Male,Mexico,CPF
20.2738,29,Male,Mexico,IC
21.1472,27,Female,Mexico,CPF
20.1834,28,Female,Mexico,IBT
20.1451,25,Female,Mexico,LAF
20.1205,29,Male,Mexico,LDI
20.9747,27,Female,Mexico,MC
21.0048,36,Male,Mexico,IE
20.5284,25,Male,Mexico,BFI
20.1506,30,Male,Mexico,LED
21.6153,21,Male,Mexico,IID
20.5640,17,Female,Mexico,MC
20.7365,23,Female,Mexico,BIE
20.8433,24,Female,Mexico,IIS
21.3196,25,Female,Mexico,ARQ
21.1937,22,Female,Mexico,IIS
21.2238,33,Female,Mexico,LED
20.3997,27,Male,Mexico,MC
20.6324,27,Male,Mexico,LC
20.1697,29,Male,Mexico,LED
20.1232,17,Male,Mexico,LDI
25.5277,22,Male,Mexico,MC
40.3806,28,Female,Mexico,LNB
24.6735,20,Female,Mexico,MO
24.9391,28,Male,Mexico,LAE
26.9624,22,Female,Mexico,IDM
26.8255,31,Male,Mexico,LUB
26.2752,28,Female,Mexico,IIS
24.3860,19,Male,Mexico,LTM
25.3306,23,Male,Mexico,LED
24.1478,18,Female,Mexico,MC
24.6543,22,Male,Mexico,LAE
24.4353,24,Male,Mexico,LIT
24.1643,25,Female,Mexico,LEM
24.1916,24,Male,Mexico,ARQ
24.3121,28,Male,Mexico,IQ
23.4716,25,Male,Mexico,MC
22.7461,18,Male,Mexico,MC
23.0226,19,Male,Mexico,MC
23.3621,23,Male,Mexico,LAF
23.2526,24,Female,Mexico,LEM
22.7789,23,Male,Mexico,LDE
23.0089,24,Female,Mexico,ARQ
23.3867,19,Female,Mexico,LAE
22.5654,17,Male,Mexico,LEM
22.6831,21,Male,Mexico,IC
23.7563,22,Female,Mexico,LEM
22.3847,26,Male,Mexico,LAE
22.7981,26,Male,Mexico,IIS
22.9870,29,Male,Mexico,IFI
22.2998,18,Female,Mexico,LAF
22.3107,21,Male,Mexico,IM
23.8960,27,Male,Mexico,LIN
26.3819,23,Female,Mexico,LAE
25.6044,18,Female,Mexico,LDI
22.3053,25,Male,Mexico,LAF
22.6256,30,Female,Mexico,IIS
23.3812,26,Female,Mexico,LAD
23.9589,23,Male,Mexico,LED
23.0445,23,Male,Mexico,LTM
24.4353,28,Female,Mexico,ARQ
23.2827,32,Male,Mexico,MC
22.6776,27,Male,Mexico,ITC
26.4339,28,Female,Mexico,IMT
21.8371,24,Female,Mexico,LED
21.7769,18,Male,Mexico,LAF
21.6509,27,Male,Mexico,IMT
22.7680,20,Male,Mexico,IBT
22.1054,26,Male,Mexico,IQ
22.9624,29,Male,Mexico,LPS
21.8344,29,Male,Mexico,LAF
22.2642,25,Male,Mexico,IMT
21.8782,28,Female,Mexico,LDI
22.7734,20,Male,Mexico,IIS
21.4182,28,Male,Mexico,IDM
21.4346,31,Female,Mexico,BGB
22.6119,28,Female,Mexico,IMT
21.1362,30,Female,Mexico,IMT
21.7467,22,Male,Mexico,IDM
22.0671,27,Male,Mexico,IMT
22.7132,22,Male,Mexico,ARQ
22.7817,27,Female,Mexico,LAE
21.9274,20,Female,Mexico,LEM
22.1191,28,Male,Mexico,LED
21.8234,32,Female,Mexico,CPF
22.7050,28,Male,Mexico,CPF
22.4832,21,Male,Mexico,LIN
21.4538,28,Male,Mexico,ITC
21.4593,32,Male,Mexico,LTM
22.1629,33,Female,Mexico,IIS
22.2396,36,Male,Mexico,IBT
22.3984,26,Male,Mexico,LAF
22.5599,19,Male,Mexico,LAF
21.3963,24,Female,Mexico,LAF
22.4695,18,Female,Mexico,LAF
21.7906,35,Male,Mexico,LIN
21.8782,20,Male,Mexico,IIS
21.7248,20,Male,Mexico,IIS
22.1656,33,Male,Mexico,LAF
22.6420,28,Female,Mexico,LTM
21.3854,24,Male,Mexico,LAE
21.8727,23,Male,Mexico,LAE
23.2745,23,Male,Mexico,LAF
21.2676,26,Male,Mexico,IIS
21.2731,31,Female,Mexico,LAE
22.5489,17,Female,Mexico,LDI
23.3183,32,Male,Mexico,BGB
21.2211,18,Male,Mexico,LAF
21.8289,30,Male,Mexico,IIS
21.3881,27,Female,Mexico,LDI
21.3087,31,Female,Mexico,MC
21.9795,18,Male,Mexico,LAD
22.8063,22,Male,Mexico,LIN
22.0972,29,Female,Mexico,LIN
23.2060,18,Male,Mexico,LAF
21.7878,22,Male,Mexico,IMT
21.8973,28,Male,Mexico,IIS
22.1793,34,Female,Mexico,ARQ
22.1793,34,Female,Mexico,ARQ
21.5277,20,Male,Mexico,IIS
22.1711,22,Female,Mexico,IMD
21.7331,21,Male,Mexico,IMT
22.2943,27,Female,Mexico,LIN
22.6393,22,Female,Mexico,LDI
21.4949,23,Male,Mexico,IM
21.5496,28,Male,Mexico,IRS
22.0917,20,Female,Mexico,LPS
21.8015,32,Female,Mexico,IIS
21.6838,31,Male,Mexico,LAE
21.1882,20,Male,Mexico,LEC
21.8645,22,Male,Mexico,LED
21.1335,21,Male,Mexico,IMT
21.8344,20,Male,Mexico,LEM
22.0643,28,Female,Mexico,IMT
21.7823,30,Female,Mexico,IIS
21.4483,23,Female,Mexico,LDI
21.2129,26,Female,Mexico,LC
22.3326,21,Male,Mexico,IID
21.8371,27,Male,Mexico,IIS
21.8316,30,Male,Mexico,ITC
21.2457,27,Female,Mexico,LDI
22.0589,24,Female,Mexico,LAE
21.8617,19,Male,Mexico,IMT
21.1581,28,Male,Mexico,LAF
22.5216,31,Female,Mexico,LEM
21.1910,21,Female,Mexico,LC
21.4784,25,Male,Mexico,IMT
21.4675,19,Male,Mexico,ITC
21.9603,33,Male,Mexico,IIS
21.7495,20,Female,Mexico,IM
22.5900,20,Male,Mexico,LAF
21.3114,34,Female,Mexico,IMT
21.1691,19,Male,Mexico,LIT
21.7741,31,Male,Mexico,IMT
24.7502,27,Male,Mexico,IC
23.4360,24,Male,Mexico,LAF
22.9925,21,Male,Mexico,LAF
23.2416,16,Male,South America,IQ
21.9439,23,Male,Mexico,NEG
21.1691,24,Female,Mexico,LEM
22.3326,24,Male,Mexico,IIS
21.3306,28,Male,Mexico,CPF
22.0561,24,Female,Mexico,IQ
21.3005,27,Male,Mexico,ITD
21.9165,30,Male,Mexico,LAF
21.5332,20,Female,Mexico,LAE
21.9329,27,Male,Mexico,MC
21.7194,20,Female,Mexico,ARQ
22.3436,21,Male,Mexico,IBT
21.0294,28,Female,Mexico,LEM
21.3333,21,Male,Mexico,LAF
22.0643,32,Male,Mexico,LAF
21.4565,20,Male,Mexico,LAF
21.2977,29,Male,Mexico,IIS
20.4025,28,Female,Mexico,IMD
20.5448,21,Male,Mexico,LAF
21.1581,32,Male,Mexico,IMT
21.1663,23,Male,Mexico,IIS
20.4682,35,Female,Mexico,LED
20.8843,22,Female,Mexico,LC
21.1773,17,Male,Mexico,LAF
20.8515,21,Male,Mexico,LAE
21.0815,26,Male,Mexico,LAF
20.9856,28,Male,Mexico,LIN
20.2327,31,Female,Mexico,IMD
20.8816,25,Male,Mexico,IQ
20.8679,27,Male,Mexico,IIS
21.2293,22,Male,Mexico,IIS
21.5688,26,Male,Mexico,LAF
21.0869,27,Male,Mexico,ITC
20.6762,26,Male,Mexico,IIS
20.7091,27,Female,Mexico,ESC
20.4545,30,Male,Mexico,IMT
21.9959,35,Female,Mexico,LAF
21.7057,31,Male,Mexico,IM
20.5585,21,Male,Mexico,IIS
22.0233,36,Female,Mexico,LAF
20.4956,27,Male,Mexico,LAF
20.9555,30,Male,Mexico,CPF
21.3936,24,Male,Mexico,MC
22.0233,34,Male,Mexico,IIS
21.0869,28,Male,Mexico,LEM
21.4565,20,Female,Mexico,LDI
20.1232,28,Male,Mexico,IMT
20.8487,29,Male,Mexico,IMT
20.6434,18,Female,Mexico,LAE
21.0376,27,Female,Mexico,IIS
20.8487,20,Female,Mexico,LEM
20.0958,26,Male,Mexico,LAF
20.8706,31,Female,Mexico,IMT
20.6845,22,Female,Mexico,BIE
21.5989,25,Male,Mexico,LAF
20.6188,29,Male,Mexico,IMT
21.1855,28,Female,Mexico,LEM
21.4127,30,Male,Mexico,MC
20.7474,21,Male,Mexico,CPF
21.4401,23,Male,Mexico,LAF
22.0999,24,Male,Mexico,ITC
20.1533,32,Female,Mexico,LAE
20.5886,28,Male,Mexico,IIS
20.9802,27,Male,Mexico,LC
21.3306,29,Male,Mexico,BFI
20.6571,30,Male,Mexico,LIN
20.4572,20,Male,Mexico,LAF
20.2656,28,Male,Mexico,IIS
21.9138,26,Male,Mexico,LIT
21.7221,23,Male,Mexico,IDM
20.5640,22,Male,Mexico,LAF
20.5941,18,Female,Mexico,LPS
20.4107,22,Male,Mexico,LIN
21.3881,19,Male,Mexico,LIT
20.5038,27,Female,Mexico,LTM
20.1971,28,Female,Mexico,IFI
20.5804,21,Male,Mexico,CPF
20.7310,27,Male,Mexico,LAF
20.4764,23,Female,Mexico,LDI
20.3203,30,Female,Mexico,IIS
20.9144,29,Male,Mexico,IBT
21.0240,28,Female,Mexico,IIS
20.9336,25,Male,Mexico,BGB
21.7687,21,Female,Mexico,LAE
20.9418,38,Male,South America,LAF
22.0397,22,Male,Mexico,CPF
21.6400,25,Male,Mexico,IDM
20.1232,25,Female,Mexico,MC
20.8761,29,Female,Mexico,LIN
21.2238,26,Male,Mexico,IIS
20.9391,21,Male,Mexico,IC
20.4381,24,Female,Mexico,LIN
20.7803,19,Male,Mexico,LIN
21.2402,27,Male,Mexico,IMT
22.6612,35,Male,South America,LDE
20.7502,28,Male,Mexico,IMT
20.9418,24,Female,Mexico,IIS
21.2074,27,Female,Mexico,ESC
20.2875,25,Female,Mexico,LED
20.9829,25,Female,Mexico,LAF
20.5613,32,Female,Mexico,LEM
23.4962,30,Female,Mexico,MC
20.2491,24,Male,Mexico,IQ
20.5722,20,Female,Mexico,IIS
20.6817,25,Male,Mexico,IAG
20.6297,19,Female,Mexico,LEM
20.4052,28,Male,Mexico,LC
20.7064,21,Male,Mexico,LAF
21.9192,19,Male,Mexico,LEC
23.6359,16,Male,Mexico,LAE
21.5688,22,Male,Mexico,IM
21.3854,35,Female,Mexico,LAE
20.3340,24,Male,Mexico,CPF
21.8480,24,Female,Mexico,ARQ
21.2129,31,Male,Mexico,LAF
20.5202,22,Male,Mexico,LAF
23.9562,31,Male,Mexico,LIN
20.9008,30,Male,Mexico,LAE
20.6215,27,Male,Mexico,BA
20.6215,26,Male,Mexico,LUB
24.6434,28,Male,Mexico,LAF
20.6215,28,Male,Mexico,ITD
19.7591,29,Female,Mexico,IMD
20.5065,26,Female,Mexico,LAD
19.7125,19,Female,Mexico,IMT
19.5264,32,Female,Mexico,LPS
19.9589,27,Female,Mexico,INA
19.9042,27,Male,Mexico,CPF
19.4716,25,Female,Mexico,BGB
19.3840,22,Female,Mexico,LED
19.3867,26,Male,Mexico,IIT
19.3238,22,Female,Mexico,ESC
20.4079,26,Male,Mexico,IFI
20.5777,29,Female,Mexico,LEM
19.4114,21,Female,Mexico,IBT
19.2635,23,Male,Mexico,LRI
19.3374,29,Female,Mexico,IIS
20.0192,20,Female,Mexico,IC
20.6105,20,Female,Mexico,ARQ
20.0137,28,Male,Mexico,IQ
19.8494,21,Female,Mexico,NEG
20.6407,24,Female,Mexico,IMT
20.7064,20,Male,Mexico,INA
19.7974,29,Female,Mexico,LBC
20.0438,31,Male,Mexico,IAL
19.2334,21,Female,Mexico,IDS
19.9425,23,Male,Mexico,IQ
